restaurant_id,name,days_in_advance,primary_cuisine,secondary_cuisines,primary_dining_style,secondary_dining_styles,facilities,primary_place,places,hashtags,weighted_rating_score,total_revenue,total_bookings,total_guests,total_no_shows,total_temporary_bookings,avg_revenue_per_booking,no_show_rate,kol_views,kol_likes,kol_comments,unique_kols_used,web_views,web_revenue,restaurant_name_en,restaurant_name_th,extracted_location,kol_engagement_rate
643.0,Mojjo Rooftop Lounge & Bar Skyview Hotel,90.0,mexican,"peruvian, fusion, cuban, mexican",rooftop,"rooftop, hotel restaurant","accommodates 50+ people, accommodates 80+ people, have parking, free wifi, vegan/vegetarian friendly, scenic view, dj, wheelchair access, free event equipment, outdoor seating, halal, have baby chair, accommodates 120+ people, indoor seating",awardtype:50 million milestone,"popularzone:phrom phong, btsroute:bts phrom phong, shoppingmall:emquartier","top 10 restaurant bkk (my), must visit bkk 2025 for korean tourists, celebrate love with us, birthday celebration, top 10 restaurant bkk (india), famous restaurants, free-flow promotion, must visit bkk 2025 for hongkong tourists, celebration redtable awards 2025, top 10 restaurant bkk (au), amex, top 10 restaurant bkk (uk)",4.713113659333279,614407780.0,11314.0,25979.0,165.0,279.0,54305.08926993106,0.01458370160862648,17312.0,224.0,17.0,2.0,1498.0,0.0,Mojjo Rooftop Lounge & Bar Skyview Hotel,โมจโจ รูฟท็อป เลาจน์ แอนด์ บาร์ Skyview Hotel,Thai,0.013920979667282809
668.0,Boon Tong Kee Seacon Square,90.0,singaporean,chinese,casual dining,"casual dining, family friendly, chain restaurant, mall restaurant","have parking, have baby chair, indoor seating",awardbadge:red table award,Unknown,"celebration redtable awards 2025, time to celebrate, redtable 2024 award winner, amex",4.660770931122943,95960240.0,6865.0,18476.0,63.0,70.0,13978.184996358339,0.009176984705025492,0.0,0.0,0.0,0.0,85.0,0.0,Boon Tong Kee Seacon Square,บุญตงกี่ ซีคอนสแควร์,Steakhouse,0.0
680.0,Boon Tong Kee Central Pinklao,90.0,chinese,chinese,casual dining,"family friendly, casual dining, chain restaurant, mall restaurant","have baby chair, have parking, indoor seating",awardbadge:red table award,"popularzone:pinklao, shoppingmall:central pinklao","redtable 2024 award winner, celebration redtable awards 2025, amex, time to celebrate",4.722268523364611,82534940.0,7690.0,22066.0,90.0,97.0,10732.762028608582,0.011703511053315995,0.0,0.0,0.0,0.0,154.0,0.0,Boon Tong Kee Central Pinklao,บุญตงกี่ เซ็นทรัลปิ่นเกล้า,Chinese,0.0
694.0,,,,,,,,,,,,35006850.0,1727.0,6304.0,17.0,25.0,20270.324261725535,0.009843659525188187,0.0,0.0,0.0,0.0,0.0,0.0,Hongmin Central Bangna,ฮองมิน เซ็นทรัลบางนา,Chinese,0.0
701.0,Le Boeuf,90.0,french,"french, european",fine dining,"fine dining, buffet","have baby chair, have parking, indoor seating, live music",btsroute:bts ari,btsroute:bts ari,Unknown,4.626953503793533,10160790.0,433.0,1100.0,13.0,9.0,23466.027713625866,0.03002309468822171,0.0,0.0,0.0,0.0,5750.0,0.0,Le Boeuf,เลอเบิฟ,Steakhouse,0.0
712.0,Vertigo TOO Banyan Tree,240.0,international,"international, fusion",rooftop,"rooftop, hotel restaurant, casual dining, pub/bar","accommodates 50+ people, accommodates 120+ people, accommodates 80+ people, indoor seating, have parking, scenic view, wheelchair access, free wifi, vegan/vegetarian friendly, have baby chair",popularzone:sathon,popularzone:sathon,"top 20 restaurants in thailand, tiewpaireviewpai, top 10 restaurant bkk (swe), hotel buffet recommended, amex, must visit bkk 2025 for hongkong tourists, celebration redtable awards 2025, birthday celebration, top 10 restaurant bkk (kr), must visit bkk 2025 for korean tourists, free-flow promotion, top 10 restaurant bkk (phl), top 10 restaurant bkk (my), top 10 restaurant bkk (sg), top 10 restaurant bkk (indo), top 10 restaurant bkk (us), top 10 restaurant bkk (ger), top sales hotel restaurants, top 10 restaurant bkk (au), hottest promotion, time to celebrate, top 10 restaurant bkk (uk), fancy restaurants in bangkok under $50, famous restaurants",4.787474402664131,1420478355.0,45558.0,105707.0,133.0,1010.0,31179.559133412353,0.0029193555467755387,801887.0,30358.0,144.0,2.0,420.0,0.0,Vertigo TOO Banyan Tree,เวอร์ทิโก้ทู โรงแรมบันยันทรี,European,0.038037778390222064
740.0,,,,,,,,,,,,56470900.0,2393.0,7450.0,41.0,29.0,23598.370246552444,0.01713330547430004,435246.0,2580.0,56.0,1.0,0.0,0.0,Hongmin MBK Center,ฮองมิน เอ็มบีเคเซ็นเตอร์,European,0.006056345147341963
741.0,,,,,,,,,,,,30619350.0,1393.0,4354.0,9.0,23.0,21980.868628858578,0.006460875807609476,0.0,0.0,0.0,0.0,0.0,0.0,Hongmin Big C Ladprao,ฮองมิน บิ๊กซีลาดพร้าว,Thai,0.0
742.0,,,,,,,,,,,,51160800.0,2121.0,8220.0,20.0,23.0,24121.07496463932,0.00942951438000943,0.0,0.0,0.0,0.0,0.0,0.0,Hongmin Future Park Rangsit,ฮองมิน ฟิวเจอร์พาร์ครังสิต,International,0.0
743.0,,,,,,,,,,,,32565350.0,1762.0,6369.0,15.0,29.0,18482.037457434733,0.00851305334846765,0.0,0.0,0.0,0.0,0.0,0.0,Hongmin Fashion Island,ฮองมิน แฟชั่นไอส์แลนด์,Thai,0.0
744.0,,,,,,,,,,,,51699550.0,4312.0,12987.0,10.0,17.0,11989.691558441558,0.002319109461966605,0.0,0.0,0.0,0.0,0.0,0.0,Hongmin Central Pinklao,ฮองมิน เซ็นทรัลปิ่นเกล้า,Chinese,0.0
745.0,,,,,,,,,,,,46974700.0,2232.0,7760.0,20.0,36.0,21046.012544802867,0.008960573476702509,0.0,0.0,0.0,0.0,0.0,0.0,Hongmin Mega Bangna,ฮองมิน เมกาบางนา,Thai,0.0
746.0,,,,,,,,,,,,90475250.0,4719.0,17150.0,34.0,63.0,19172.54714981988,0.007204916295825386,0.0,0.0,0.0,0.0,0.0,0.0,Hongmin The Paseo Kanchanaphisek,ฮองมิน เดอะพาซิโอกาญจนาภิเษก,European,0.0
753.0,Boon Tong Kee Sukhumvit 49,90.0,chinese,chinese,casual dining,"casual dining, chain restaurant, family friendly, mall restaurant","have baby chair, have parking, indoor seating",awardtype:50 million milestone,popularzone:phrom phong,"time to celebrate, celebration redtable awards 2025, redtable 2024 award winner, amex",4.682095120750691,11311510.0,1044.0,2782.0,21.0,18.0,10834.77969348659,0.020114942528735632,0.0,0.0,0.0,0.0,43.0,0.0,Boon Tong Kee Sukhumvit 49,บุญตงกี่ สุขุมวิท 49,American,0.0
763.0,Cantina Wine Bar & Italian Kitchen,90.0,italian,Unknown,family friendly,"family friendly, casual dining, wine bar","valet parking, indoor seating, free wifi",popularzone:ari,"popularzone:ari, popularzone:samsen",Unknown,4.803037527416546,903240.0,24.0,63.0,0.0,0.0,37635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cantina Wine Bar & Italian Kitchen,แคนทีนา ไวน์บาร์ แอนด์ อิตาเลียน คิทเช่น,Thai,0.0
781.0,Miche Boulangerie and Coffee Bar,60.0,thai,thai,cafe/dessert,"cafe/dessert, casual dining, open air/outdoor, family friendly, healthy","wheelchair access, have parking",popularzone:phrom phong,"btsroute:bts phrom phong, btsroute:bts thong lor, popularzone:thonglor, popularzone:phrom phong","thai casual dining restaurants under 500 baht near bts phrom phong, bts thong lor, and bts ekkamai, thai outdoor restaurants in phrom phong, asok & nana under 1000 baht, free-flow promotion, healthy thai restaurants near phrom phong, asok, thonglor",4.778291114780592,1174920.0,295.0,621.0,0.0,1.0,3982.7796610169494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Miche Boulangerie and Coffee Bar,มิเช่ บูลางเจอรี่ แอนด์ คอฟฟี่ บาร์,Thai,0.0
783.0,THINK Cafe @ The BLOC,90.0,fusion,"fusion, european, american, international",cafe/dessert,"casual dining, cafe/dessert, mall restaurant",indoor seating,popularzone:taling chan,"popularzone:taling chan, popularzone:ratchaphruek",amex,4.6375630409490345,644500.0,31.0,73.0,0.0,0.0,20790.322580645163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,THINK Cafe @ The BLOC,ธิงค์ คาเฟ่ @เดอะบล็อก,Thai,0.0
788.0,,,,,,,,,,,,23080422.0,1518.0,3283.0,1.0,4.0,15204.494071146246,0.0006587615283267457,0.0,0.0,0.0,0.0,0.0,0.0,Tohkai Japanese Restaurant Prasarnmit,โตไก เจแปนนิสเรสเตอรอง ประสานมิตร,Japanese,0.0
790.0,Barsu at Sheraton Grande Sukhumvit,60.0,international,"international, fusion",hotel restaurant,"sports bar, hotel restaurant, pub/bar","accommodates 50+ people, have parking, live music, accommodates 80+ people",btsroute:bts asok,btsroute:bts asok,amex,4.803253863116409,2394292.0,92.0,290.0,0.0,1.0,26024.91304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barsu at Sheraton Grande Sukhumvit,บาร์สุ เชอราตัน แกรนด์ สุขุมวิท,Korean,0.0
793.0,,,,,,,,,,,,2506856.0,60.0,251.0,3.0,1.0,41780.933333333334,0.05,0.0,0.0,0.0,0.0,0.0,0.0,Tohkai Japanese Restaurant Teparak,โตไก เจแปนนิสเรสเตอรอง เทพารักษ์,Japanese,0.0
799.0,,,,,,,,,,,,41002566.0,1116.0,4440.0,6.0,11.0,36740.65053763441,0.005376344086021506,0.0,0.0,0.0,0.0,0.0,0.0,Tohkai Japanese Restaurant Esplanade Ratchada,โตไก เจแปนนิสเรสเตอรอง เอสพลานาดรัชดา,Japanese,0.0
800.0,,,,,,,,,,,,29794992.0,946.0,3710.0,2.0,6.0,31495.763213530656,0.0021141649048625794,0.0,0.0,0.0,0.0,0.0,0.0,Tohkai Japanese Restaurant The Circle Ratchapruek,โตไก เจแปนนิสเรสเตอรอง เดอะเซอร์เคิลราชพฤกษ์,Japanese,0.0
801.0,,,,,,,,,,,,14704252.0,389.0,1499.0,1.0,7.0,37800.13367609255,0.002570694087403599,0.0,0.0,0.0,0.0,0.0,0.0,Tohkai Japanese Restaurant Terminal 21 Asok,โตไก เจแปนนิสเรสเตอรอง เทอมินอล 21 อโศก,Japanese,0.0
802.0,,,,,,,,,,,,18907866.0,784.0,2101.0,9.0,11.0,24117.176020408162,0.011479591836734694,0.0,0.0,0.0,0.0,0.0,0.0,Tohkai Japanese Restaurant The Promenade,โตไก เจแปนนิสเรสเตอรอง เดอะพรอมานาด,Japanese,0.0
803.0,,,,,,,,,,,,46849684.0,1126.0,4433.0,5.0,21.0,41607.17939609236,0.004440497335701598,0.0,0.0,0.0,0.0,0.0,0.0,Tohkai Japanese Restaurant Mega Bangna,โตไก เจแปนนิสเรสเตอรอง เมกาบางนา,Japanese,0.0
808.0,,,,,,,,,,,,259743900.0,9057.0,31737.0,27.0,147.0,28678.800927459422,0.0029811195760185492,0.0,0.0,0.0,0.0,96.0,0.0,Medinii Panorama Restaurant (35th floor) at The Continent Boutique Hotel Bangkok Sukhumvit,เมดินี่ เดอะ คอนทิเน้นท์,Italian,0.0
816.0,,,,,,,,,,,,28926600.0,1656.0,3976.0,43.0,17.0,17467.753623188404,0.025966183574879228,0.0,0.0,0.0,0.0,0.0,0.0,Rod Dee Ded The Steakhouse,รสดีเด็ด เดอะ สเต็กเฮ้าส์,Steakhouse,0.0
828.0,The Eatery at Four Points by Sheraton Bangkok Sukhumvit 15,60.0,international,Unknown,buffet,buffet,Unknown,btsroute:bts asok,"popularzone:nana, btsroute:bts asok",Unknown,4.858101205613767,4097316.0,449.0,950.0,28.0,14.0,9125.425389755012,0.062360801781737196,0.0,0.0,0.0,0.0,0.0,0.0,The Eatery at Four Points by Sheraton Bangkok Sukhumvit 15,ดิ อีทเทอรี่ โรงแรมโฟร์พอยท์ส บาย เชอราตัน สุขุทวิท 15,Italian,0.0
835.0,Red Oven SO/ Bangkok,90.0,international,"fusion, italian, thai, international, european",hotel buffet,"buffet, casual dining, family friendly, hotel restaurant, hotel buffet","accommodates 80+ people, accommodates 120+ people, indoor seating, have parking, accommodates 50+ people, wheelchair access",awardtype:red table 2023,"popularzone:rama 4, popularzone:sathon, popularzone:silom, mrtroute:mrt lumphini","amex, famous restaurants, top sales hotel restaurants, birthday celebration, sunday brunch",4.647889872428904,760017703.2,7536.0,56423.0,39.0,87.0,100851.60605095542,0.0051751592356687895,0.0,0.0,0.0,0.0,963.0,0.0,Red Oven SO/ Bangkok,เร้ด โอเว่น โรงแรมโซ แบงคอก,Italian,0.0
843.0,Seafresh Riverside Buffet,90.0,thai,"japanese, thai, thai isaan, chinese, steakhouse, international, korean",waterfront,"waterfront, buffet, family friendly","pet friendly, free wifi, outdoor seating, wheelchair access, scenic view, indoor seating, have parking",location:yan nawa,popularzone:rama 3,time to celebrate,4.4312272165065,35483706.0,768.0,2478.0,11.0,22.0,46202.7421875,0.014322916666666666,3253.0,89.0,2.0,2.0,553.0,0.0,Seafresh Riverside Buffet,ซีเฟรช ริเวอร์ไซด์ บุฟเฟ่ต์,Vietnamese,0.027974177682139563
863.0,PAUL Bakery CentralWorld,90.0,french,"fusion, french, european, international",casual dining,"chain restaurant, afternoon tea, cafe/dessert, family friendly, casual dining",indoor seating,popularzone:ratchaprasong,"popularzone:siam, popularzone:pratunaam, popularzone:ratchaprasong, btsroute:bts chit lom, popularzone:chidlom, popularzone:ratchathewi, popularzone:ploenchit, btsroute:bts ratchadamri, popularzone:rajdamri, shoppingmall:central world",amex,4.731775438069961,21790140.0,1873.0,4208.0,8.0,26.0,11633.817405232248,0.004271222637479978,0.0,0.0,0.0,0.0,184.0,0.0,PAUL Bakery CentralWorld,พอล เบเกอรี่ เซ็นทรัลเวิลด์,Vietnamese,0.0
864.0,,,,,,,,,,,,15641100.0,1014.0,2881.0,5.0,20.0,15425.147928994083,0.004930966469428008,0.0,0.0,0.0,0.0,0.0,0.0,PAUL Bakery Central Embassy,พอล เบเกอรี่ เซ็นทรัลเอ็มบาสซี่,French,0.0
865.0,,,,,,,,,,,,34573040.0,2299.0,6362.0,4.0,6.0,15038.294910830797,0.0017398869073510222,0.0,0.0,0.0,0.0,0.0,0.0,PAUL Bakery Mega Bangna,พอล เบเกอรี่ เมกาบางนา,Vietnamese,0.0
873.0,,,,,,,,,,,,89041340.0,2780.0,8688.0,45.0,75.0,32029.258992805757,0.01618705035971223,0.0,0.0,0.0,0.0,0.0,0.0,Prime at Skyview Hotel,ไพร์ม โรงแรมสกายวิว,International,0.0
875.0,"Bistro M at Marriott Executive Apartments Sukhumvit Park, Bangkok",60.0,international,Unknown,hotel restaurant,"casual dining, hotel restaurant, family friendly","indoor seating, have parking, have baby chair, wheelchair access, vegan/vegetarian friendly, free wifi, massage & spa, accommodates 50+ people",popularzone:phrom phong,popularzone:phrom phong,corporate deals,4.683125218826135,12819950.0,549.0,1552.0,15.0,11.0,23351.457194899816,0.0273224043715847,0.0,0.0,0.0,0.0,110.0,0.0,"Bistro M at Marriott Executive Apartments Sukhumvit Park, Bangkok","Bistro M at Marriott Executive Apartments Sukhumvit Park, Bangkok",Vietnamese,0.0
894.0,Romsai Banyan Tree Hotel,60.0,international,Unknown,hotel buffet,"casual dining, hotel restaurant, buffet, family friendly, hotel buffet","free wifi, indoor seating, kids playground, vegan/vegetarian friendly",awardbadge:red table award,"mrtroute:mrt si lom, btsroute:bts sala daeng, popularzone:rajdamri, popularzone:sathon, mrtroute:mrt lumphini","you&i, christmas & new year deal, top sales hotel restaurants, weekend best selling, sunday brunch, must visit bkk 2025 for korean tourists, hotel buffet recommended, top 20 restaurants in thailand, birthday celebration, famous restaurants, hottest promotion, must visit bkk 2025 for hongkong tourists, come more pay less, best selling weekday, buffet mania, amex, celebration redtable awards 2025",4.817261063747973,1207371580.0,23823.0,75340.0,204.0,259.0,50680.920958737355,0.008563153255257524,0.0,0.0,0.0,0.0,4151.0,0.0,Romsai Banyan Tree Hotel,ร่มไทร บันยันทรี โฮเทล,Vietnamese,0.0
895.0,,,,,,,,,,,,276860.0,13.0,33.0,0.0,0.0,21296.923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Crab & Claw Siam Paragon,แคร็บ แอนด์ คลอว์ สยามพารากอน,Bangkok,0.0
